,Temporal Dark Patterns,Monetary Dark Patterns,Social Dark Patterns,Psychological Dark Patterns,Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
11,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,10,4,6,1,1,0,0
12,This game has 18 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 26 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 15 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 19 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,18,26,15,19,2,4,2,1
13,This game has 110 reported Temporal Dark Patterns. There are 18 votes indicating the absence of a dark pattern.,This game has 158 reported Monetary Dark Patterns. There are 25 votes indicating the absence of a dark pattern.,This game has 110 reported Social Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,This game has 105 reported Psychological Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,110,158,110,105,18,25,7,7
14,This game has 31 reported Temporal Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 48 reported Monetary Dark Patterns. There are 6 votes indicating the absence of a dark pattern.,This game has 28 reported Social Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,This game has 28 reported Psychological Dark Patterns. There are 6 votes indicating the absence of a dark pattern.,31,48,28,28,4,6,7,6
15,This game has 12 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 15 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 9 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 14 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,12,15,9,14,2,3,2,0
16,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 7 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,8,7,6,1,3,0,1
17,This game has 12 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 18 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 11 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 13 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,12,18,11,13,2,4,3,1
18,This game has 11 reported Temporal Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 20 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Social Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 14 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,11,20,9,14,3,1,5,0
19,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,10,4,6,2,0,2,0
20,This game has 52 reported Temporal Dark Patterns. There are 11 votes indicating the absence of a dark pattern.,This game has 85 reported Monetary Dark Patterns. There are 14 votes indicating the absence of a dark pattern.,This game has 51 reported Social Dark Patterns. There are 12 votes indicating the absence of a dark pattern.,This game has 55 reported Psychological Dark Patterns. There are 8 votes indicating the absence of a dark pattern.,52,85,51,55,11,14,12,8
21,This game has 3 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,3,6,5,5,1,0,0,0
22,This game has 797 reported Temporal Dark Patterns. There are 169 votes indicating the absence of a dark pattern.,This game has 1081 reported Monetary Dark Patterns. There are 290 votes indicating the absence of a dark pattern.,This game has 742 reported Social Dark Patterns. There are 195 votes indicating the absence of a dark pattern.,This game has 754 reported Psychological Dark Patterns. There are 52 votes indicating the absence of a dark pattern.,797,1081,742,754,169,290,195,52
23,This game has 12 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 17 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 12 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Psychological Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,12,17,12,9,2,3,1,4
24,This game has 72 reported Temporal Dark Patterns. There are 12 votes indicating the absence of a dark pattern.,This game has 110 reported Monetary Dark Patterns. There are 23 votes indicating the absence of a dark pattern.,This game has 67 reported Social Dark Patterns. There are 19 votes indicating the absence of a dark pattern.,This game has 74 reported Psychological Dark Patterns. There are 11 votes indicating the absence of a dark pattern.,72,110,67,74,12,23,19,11
25,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 18 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 10 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 11 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,18,10,11,2,2,2,0
26,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,9,4,7,1,2,3,0
27,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,8,5,7,1,3,2,0
28,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,9,5,6,1,2,2,1
29,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,8,6,6,1,3,1,1
30,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 7 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 3 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,7,3,6,2,0,1,0
31,This game has 4 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,4,8,4,5,0,1,1,0
32,This game has 4 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 3 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,4,5,4,3,0,0,0,0
33,This game has 13 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 14 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 8 reported Social Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 10 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,13,14,8,10,0,4,4,0
34,This game has 20 reported Temporal Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 33 reported Monetary Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 15 reported Social Dark Patterns. There are 9 votes indicating the absence of a dark pattern.,This game has 22 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,20,33,15,22,4,5,9,0
35,This game has 18 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 21 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 14 reported Social Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 13 reported Psychological Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,18,21,14,13,1,4,4,3
36,This game has 9 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 14 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 8 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 10 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,9,14,8,10,2,2,1,1
37,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,5,5,7,5,2,0,0,2
38,This game has 83 reported Temporal Dark Patterns. There are 42 votes indicating the absence of a dark pattern.,This game has 168 reported Monetary Dark Patterns. There are 44 votes indicating the absence of a dark pattern.,This game has 73 reported Social Dark Patterns. There are 10 votes indicating the absence of a dark pattern.,This game has 87 reported Psychological Dark Patterns. There are 8 votes indicating the absence of a dark pattern.,83,168,73,87,42,44,10,8
39,This game has 10 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 18 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 7 reported Social Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 8 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,10,18,7,8,1,1,4,2
40,This game has 39 reported Temporal Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 49 reported Monetary Dark Patterns. There are 15 votes indicating the absence of a dark pattern.,This game has 33 reported Social Dark Patterns. There are 9 votes indicating the absence of a dark pattern.,This game has 32 reported Psychological Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,39,49,33,32,5,15,9,4
41,This game has 11 reported Temporal Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 19 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 9 reported Social Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 11 reported Psychological Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,11,19,9,11,3,3,5,3
42,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,5,10,5,5,2,1,2,2
43,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 4 reported Psychological Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,6,9,6,4,1,2,1,3
44,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,8,6,5,1,3,1,1
45,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,5,9,6,5,2,2,1,2
46,This game has 39 reported Temporal Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,This game has 51 reported Monetary Dark Patterns. There are 9 votes indicating the absence of a dark pattern.,This game has 33 reported Social Dark Patterns. There are 9 votes indicating the absence of a dark pattern.,This game has 28 reported Psychological Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,39,51,33,28,7,9,9,7
47,This game has 4 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 2 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 3 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,4,8,2,3,1,0,0,0
48,This game has 2 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 7 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 3 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,2,7,3,5,1,0,0,0
49,This game has 11 reported Temporal Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 18 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 10 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 10 reported Psychological Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,11,18,10,10,3,4,3,3
50,This game has 16 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 20 reported Monetary Dark Patterns. There are 6 votes indicating the absence of a dark pattern.,This game has 14 reported Social Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 14 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,16,20,14,14,2,6,4,2
51,This game has 24 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 30 reported Monetary Dark Patterns. There are 9 votes indicating the absence of a dark pattern.,This game has 19 reported Social Dark Patterns. There are 8 votes indicating the absence of a dark pattern.,This game has 19 reported Psychological Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,24,30,19,19,2,9,8,5
52,This game has 3 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,3,6,5,6,1,1,2,0
53,This game has 7 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 3 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 4 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,7,9,3,4,0,1,3,2
54,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 7 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,7,5,5,1,2,2,1
55,This game has 6 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 2 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,6,2,5,0,3,0,0
56,This game has 11 reported Temporal Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 17 reported Monetary Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 9 reported Social Dark Patterns. There are 5 votes indicating the absence of a dark pattern.,This game has 12 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,11,17,9,12,3,5,5,2
57,This game has 3 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 1 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,3,6,1,5,0,0,0,0
58,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 2 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,8,2,7,2,3,0,0
59,This game has 3 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,3,10,4,5,2,1,3,0
60,This game has 10 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 14 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 2 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 8 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,10,14,2,8,2,1,0,1
61,This game has 7 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 11 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,7,11,6,8,0,0,1,0
62,This game has 5 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,7,4,5,0,3,2,0
63,This game has 4 reported Temporal Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,4,9,6,5,3,2,1,2
64,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,5,9,5,5,2,2,2,2
65,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,5,9,4,6,2,2,3,1
66,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,6,8,4,6,1,3,3,1
67,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 5 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,6,9,4,5,1,2,3,2
68,This game has 10 reported Temporal Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 18 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 8 votes indicating the absence of a dark pattern.,This game has 14 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,10,18,6,14,4,4,8,0
69,This game has 64 reported Temporal Dark Patterns. There are 10 votes indicating the absence of a dark pattern.,This game has 86 reported Monetary Dark Patterns. There are 29 votes indicating the absence of a dark pattern.,This game has 52 reported Social Dark Patterns. There are 24 votes indicating the absence of a dark pattern.,This game has 60 reported Psychological Dark Patterns. There are 15 votes indicating the absence of a dark pattern.,64,86,52,60,10,29,24,15
70,This game has 10 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 14 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 8 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 9 reported Psychological Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,10,14,8,9,2,4,3,2
71,This game has 33 reported Temporal Dark Patterns. There are 8 votes indicating the absence of a dark pattern.,This game has 46 reported Monetary Dark Patterns. There are 15 votes indicating the absence of a dark pattern.,This game has 28 reported Social Dark Patterns. There are 10 votes indicating the absence of a dark pattern.,This game has 26 reported Psychological Dark Patterns. There are 7 votes indicating the absence of a dark pattern.,33,46,28,26,8,15,10,7
72,This game has 5 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 4 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 4 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 4 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,5,4,4,4,2,0,1,0
73,This game has 3 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 7 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 3 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 4 reported Psychological Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,3,7,3,4,2,0,0,1
74,This game has 10 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 2 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,10,10,2,6,0,0,0,0
